image_name,tags
test_23963,clear primary
test_16098,clear primary agriculture road
test_37741,clear primary agriculture road
test_17504,clear primary
test_20742,clear primary water agriculture
test_19776,primary partly_cloudy
test_4390,primary partly_cloudy
test_9525,clear primary agriculture road
test_12349,clear primary
test_25671,clear primary agriculture
test_332,clear primary
test_29706,clear primary
test_25382,primary partly_cloudy
test_23948,clear primary
test_12025,clear primary
test_13237,clear primary agriculture
test_18191,primary water
test_39278,clear primary agriculture road
test_35101,primary partly_cloudy
test_37973,clear primary
test_5589,clear primary
test_19791,primary partly_cloudy
test_19502,clear primary
test_23463,clear primary agriculture
test_12811,clear primary water
test_22378,primary partly_cloudy
test_23118,clear primary agriculture road
test_15751,clear primary
test_30328,clear primary
test_16167,primary partly_cloudy agriculture
test_17609,clear primary
test_32408,clear primary road
test_289,clear primary water road
test_1592,clear primary agriculture road
test_14300,clear primary
test_4452,primary partly_cloudy
test_30600,primary partly_cloudy
test_32865,primary partly_cloudy
test_36113,clear primary
test_28739,primary haze
test_11006,clear primary agriculture
test_38594,primary haze
test_35599,clear primary agriculture road
test_12264,clear primary
test_16454,primary partly_cloudy
test_40422,clear primary
test_4694,clear primary
test_24385,clear primary
test_32205,clear primary
test_39849,clear primary agriculture road
test_22775,clear primary
test_29848,clear primary
test_2332,primary haze agriculture
test_1405,clear primary
test_32755,clear primary agriculture road
test_16287,clear primary agriculture road
test_36162,clear primary
test_7471,clear primary
test_28487,clear primary
test_22726,clear primary
test_6969,clear primary water
test_40346,clear primary
test_79,clear primary agriculture
test_19884,primary haze
test_1192,clear primary
test_3811,clear primary
test_40498,clear primary agriculture
test_24533,primary partly_cloudy agriculture road
test_23486,cloudy
test_3482,clear primary
test_14496,clear primary
test_17992,clear primary
test_25204,primary partly_cloudy agriculture
test_10801,primary haze
test_26020,clear primary
test_22048,clear primary
test_23793,primary partly_cloudy
test_33094,primary haze
test_14725,clear primary
test_8263,clear primary
test_20840,clear primary
test_13393,clear primary water road
test_34632,
test_10958,clear primary
test_33905,clear primary
test_21100,clear primary habitation agriculture road
test_8400,clear primary agriculture
test_31453,clear primary
test_31902,primary haze
test_37934,primary
test_7051,clear primary agriculture
test_17632,clear primary agriculture
test_12437,clear primary
test_10636,primary haze agriculture
test_1597,clear primary
test_7479,clear primary agriculture
test_3244,clear primary
test_27682,clear primary water agriculture
test_29661,clear primary agriculture
test_36252,clear primary
test_9668,clear primary
test_24230,clear primary
test_16727,primary partly_cloudy
test_4541,primary haze
test_24592,clear primary
test_20738,clear primary agriculture road
test_35794,clear primary
test_39869,clear primary agriculture
test_9510,primary partly_cloudy
test_36149,clear primary
test_334,primary cloudy
test_17285,clear primary agriculture
test_14281,clear primary
test_39288,clear primary water agriculture
test_38903,clear primary
test_13402,clear primary
test_25623,primary partly_cloudy
test_37982,clear primary
test_12860,clear primary agriculture
test_16697,primary partly_cloudy
test_7981,clear primary
test_38676,clear primary
test_29493,primary haze
test_22510,clear primary agriculture
test_1034,clear primary
test_35878,clear primary
test_2720,clear primary
test_31338,clear primary agriculture road
test_18406,clear primary agriculture
test_32244,clear primary agriculture
test_39371,clear primary
test_27399,clear primary
test_14885,clear primary
test_17506,primary partly_cloudy
test_2717,clear primary
test_2767,clear primary water
test_13452,cloudy
test_1049,clear primary
test_19030,clear primary agriculture road
test_25715,clear primary agriculture
test_12795,clear primary
test_40551,primary partly_cloudy
test_6181,clear primary
test_34131,clear primary
test_13441,clear primary
test_10936,clear primary water
test_25690,clear primary agriculture
test_19830,clear primary
test_29034,clear primary
test_25171,clear primary
test_4286,clear primary agriculture
test_18456,clear primary agriculture road
test_27928,clear primary agriculture
test_10083,clear primary
test_16138,clear primary
test_35129,clear primary agriculture
test_27107,clear primary
test_15954,clear primary water
test_17716,primary partly_cloudy
test_36692,primary partly_cloudy
test_15652,clear primary partly_cloudy agriculture road
test_20239,primary haze agriculture
test_12748,clear primary
test_6083,clear primary agriculture
test_37394,clear primary
test_33275,clear primary
test_33604,primary partly_cloudy
test_14693,clear primary habitation road
test_5896,primary partly_cloudy
test_2008,clear primary
test_39284,clear primary
test_3223,clear primary agriculture road
test_35292,clear primary
test_15072,clear primary agriculture road
test_31384,primary haze
test_10393,primary partly_cloudy
test_39711,clear primary
test_39475,primary water
test_26328,clear primary
test_20707,clear primary agriculture
test_18965,clear primary
test_20478,primary
test_6926,primary partly_cloudy
test_7315,clear primary
test_14802,clear primary agriculture
test_21791,primary partly_cloudy agriculture
test_32239,clear primary
test_6335,clear primary
test_21808,clear primary habitation agriculture road
test_3957,clear primary
test_32372,cloudy
test_7864,clear primary
test_13269,clear primary
test_7560,clear primary
test_22431,primary partly_cloudy agriculture
test_30902,clear primary agriculture
test_8596,clear primary
test_5187,primary partly_cloudy
test_30265,clear primary
test_33795,primary partly_cloudy
test_11512,clear primary
test_31460,clear primary agriculture
test_5832,clear primary
test_23278,clear primary
test_17131,clear primary
test_14577,clear primary
test_18269,primary partly_cloudy
test_34916,clear primary agriculture road
test_14658,clear primary agriculture road
test_7738,cloudy
test_9250,primary partly_cloudy
test_20993,clear primary
test_19746,primary partly_cloudy agriculture road
test_25699,clear primary agriculture road
test_393,clear primary agriculture
test_16765,cloudy
test_429,primary partly_cloudy
test_12217,clear primary haze
test_17811,clear primary
test_11254,clear primary
test_31236,primary partly_cloudy
test_35237,clear primary
test_14434,clear primary agriculture
test_28968,clear primary
test_16105,clear primary agriculture
test_5077,cloudy
test_11528,clear primary
test_31302,clear primary agriculture road
test_18536,clear primary agriculture
test_16529,primary partly_cloudy
test_28009,clear primary water agriculture
test_6268,clear primary
test_23659,clear primary
test_6800,clear primary
test_19215,clear primary
test_11022,primary partly_cloudy
test_21246,clear primary
test_35505,primary partly_cloudy
test_29453,clear primary agriculture road
test_13679,clear primary water
test_16511,primary partly_cloudy agriculture road
test_5138,primary agriculture
test_10674,primary partly_cloudy
test_37366,primary
test_39467,clear primary
test_26262,clear primary agriculture road
test_20664,clear primary
test_7159,clear primary habitation agriculture road
test_912,clear primary agriculture
test_40630,primary partly_cloudy
test_38454,clear primary
test_16488,clear primary
test_27627,clear primary
test_30286,clear primary
test_14810,clear primary agriculture
test_31914,clear primary
test_7196,primary partly_cloudy
test_5915,clear primary agriculture road
test_30348,clear primary
