image_name,tags
test_34045,clear primary
test_32937,clear primary
test_10537,clear primary water
test_30945,clear primary water
test_13470,primary partly_cloudy
test_15782,clear primary
test_18898,clear primary
test_37505,clear primary habitation agriculture
test_16119,clear primary
test_33584,primary partly_cloudy
test_27613,clear primary
test_24888,cloudy
test_25148,clear primary
test_18949,primary
test_30019,clear primary
test_24660,clear primary
test_2744,clear primary
test_13447,clear primary water agriculture
test_16807,clear primary
test_37577,primary agriculture
test_20418,cloudy
test_26573,clear primary
test_3277,primary partly_cloudy
test_31654,primary partly_cloudy
test_16567,clear primary
test_9039,primary haze
test_24727,clear primary agriculture
test_11411,primary partly_cloudy
test_11998,clear primary
test_27088,clear primary agriculture road
test_17134,primary partly_cloudy agriculture road
test_6472,clear primary
test_3841,clear primary
test_12329,primary partly_cloudy
test_37271,primary partly_cloudy
test_24080,clear primary habitation agriculture road
test_31651,primary partly_cloudy
test_17895,clear primary
test_21044,clear primary cultivation agriculture
test_20687,clear primary water
test_38769,clear primary
test_8601,primary partly_cloudy
test_28050,primary partly_cloudy
test_9831,clear primary
test_13050,clear primary
test_18726,clear primary
test_33122,cloudy
test_23457,clear primary
test_35150,clear primary
test_21416,primary
test_37409,clear primary
test_14822,cloudy
test_964,clear primary
test_15352,clear primary road
test_13261,primary partly_cloudy agriculture
test_36195,clear primary water
test_3127,clear primary
test_7205,clear primary
test_20432,clear primary water
test_15959,clear primary
test_28124,cloudy
test_33914,clear primary
test_37026,clear primary
test_29330,clear primary
test_7171,clear primary water habitation agriculture road
test_31843,clear primary
test_7227,primary partly_cloudy
test_22141,clear primary
test_24971,clear primary
test_7723,primary partly_cloudy
test_28339,clear primary habitation agriculture road
test_7929,clear primary
test_7680,primary partly_cloudy agriculture
test_16229,clear primary
test_13598,clear primary
test_30793,primary partly_cloudy
test_2646,clear primary water
test_6030,clear primary agriculture road
test_17671,primary partly_cloudy
test_9622,clear primary
test_33989,clear primary agriculture
test_25585,clear primary partly_cloudy
test_7831,primary haze
test_8491,clear primary haze agriculture
test_19589,clear primary agriculture
test_39805,primary partly_cloudy
test_25342,clear primary
test_39321,primary partly_cloudy agriculture
test_3003,clear primary
test_24571,clear primary water agriculture
test_6974,primary haze
test_18848,clear primary
test_1152,clear primary
test_31074,primary
test_23942,clear primary water artisinal_mine
test_40625,primary cloudy
test_36030,clear primary agriculture
test_35274,clear primary water habitation agriculture
test_19726,clear primary
test_15361,cloudy
test_27004,clear primary
test_13365,clear primary agriculture road
test_15778,primary haze
test_20126,primary partly_cloudy
test_28303,clear primary water agriculture
test_29149,clear primary agriculture road
test_1799,clear primary
test_6136,clear primary
test_21040,primary partly_cloudy agriculture road
test_17214,clear primary agriculture
test_38539,primary partly_cloudy agriculture road
test_1204,clear primary agriculture road
test_27302,primary partly_cloudy
test_8654,clear primary water
test_16008,clear primary
test_4423,clear primary
test_33824,primary partly_cloudy
test_6655,clear primary
test_22015,clear primary
test_33651,clear primary habitation agriculture road
test_22230,clear primary agriculture
test_40444,primary haze
test_3990,clear primary agriculture
test_25815,clear primary
test_31686,primary partly_cloudy
test_37775,clear primary
test_37147,primary partly_cloudy
test_19286,clear primary cultivation agriculture
test_12435,clear primary
test_26008,clear primary
test_14019,clear primary water agriculture
test_37883,clear primary
test_6549,clear primary
test_11453,clear primary
test_6910,clear primary
test_22132,clear primary water
test_7656,clear primary habitation bare_ground agriculture road
test_40396,clear primary agriculture
test_23932,clear primary agriculture road
test_13071,primary water partly_cloudy
test_27674,clear primary
test_35443,clear primary
test_28751,clear primary agriculture
test_20238,clear primary
test_10415,clear primary
test_8704,clear primary
test_27105,clear primary
test_25051,clear primary
test_26744,primary haze
test_30528,clear primary
test_23727,clear primary water
test_26104,clear primary agriculture road
test_17165,clear primary
test_9585,clear primary
test_17362,clear primary agriculture road
test_13653,primary partly_cloudy agriculture
test_6967,clear primary water agriculture
test_29019,clear primary water agriculture
test_7494,clear primary
test_14800,cloudy
test_39350,clear primary water agriculture
test_39899,clear primary habitation agriculture road
test_34519,primary partly_cloudy
test_38155,clear primary
test_18358,clear primary agriculture
test_29845,clear primary habitation agriculture road
test_39722,clear primary
test_22618,clear primary
test_27033,primary
test_12511,clear primary water
test_947,clear primary
test_2986,clear primary
test_40047,cloudy
test_32301,clear primary water
test_7684,clear primary
test_20638,clear primary agriculture road
test_1686,primary partly_cloudy
test_32448,clear primary haze agriculture
test_6370,clear primary
test_3633,clear primary
test_2118,clear primary
test_8058,clear primary
test_28711,clear primary
test_23255,clear primary
test_9554,clear primary
test_27132,clear primary
test_39399,clear primary
test_10318,clear primary water artisinal_mine road
test_8554,clear primary agriculture road
test_29737,primary partly_cloudy
test_23296,clear primary water
test_2644,clear primary habitation agriculture road
test_23709,clear primary water
