image_name,tags
test_34045,clear primary cultivation agriculture
test_32937,clear primary
test_10537,clear primary water
test_30945,clear primary water
test_13470,primary partly_cloudy
test_15782,clear primary
test_18898,clear primary haze
test_37505,clear primary habitation
test_16119,clear primary
test_33584,primary partly_cloudy agriculture
test_27613,clear primary
test_24888,cloudy
test_25148,clear primary
test_18949,clear primary haze partly_cloudy
test_30019,clear primary cultivation agriculture
test_24660,clear primary
test_2744,clear primary
test_13447,clear primary water cultivation agriculture
test_16807,clear primary haze
test_37577,clear primary water partly_cloudy agriculture
test_20418,primary cloudy haze
test_26573,clear primary
test_3277,primary partly_cloudy
test_31654,primary water cultivation partly_cloudy agriculture
test_16567,clear primary
test_9039,primary haze
test_24727,clear primary agriculture road
test_11411,primary partly_cloudy
test_11998,clear primary
test_27088,clear primary water agriculture road
test_17134,primary partly_cloudy agriculture road
test_6472,clear primary
test_3841,clear primary agriculture
test_12329,primary partly_cloudy
test_37271,primary partly_cloudy agriculture road
test_24080,clear primary habitation agriculture road
test_31651,primary water partly_cloudy
test_17895,clear primary
test_21044,clear primary cultivation agriculture
test_20687,clear primary water agriculture
test_38769,clear primary
test_8601,primary partly_cloudy agriculture road
test_28050,primary cloudy partly_cloudy agriculture
test_9831,clear primary
test_13050,clear primary
test_18726,clear primary
test_33122,cloudy
test_23457,clear primary
test_35150,clear primary water agriculture road
test_21416,clear primary haze
test_37409,clear primary
test_14822,primary cloudy haze
test_964,clear primary
test_15352,clear primary water road
test_13261,primary cultivation partly_cloudy agriculture
test_36195,clear primary water
test_3127,clear primary
test_7205,clear primary
test_20432,clear primary water partly_cloudy habitation agriculture road
test_15959,clear primary
test_28124,primary cloudy partly_cloudy
test_33914,clear primary water road
test_37026,clear primary
test_29330,clear primary
test_7171,clear primary water habitation agriculture road
test_31843,clear primary
test_7227,primary partly_cloudy
test_22141,clear primary
test_24971,clear primary partly_cloudy
test_7723,clear primary partly_cloudy agriculture
test_28339,clear primary water habitation agriculture road
test_7929,clear primary
test_7680,primary partly_cloudy agriculture road
test_16229,clear primary
test_13598,clear primary
test_30793,primary partly_cloudy agriculture road
test_2646,clear primary water road
test_6030,clear primary cultivation agriculture road
test_17671,clear primary partly_cloudy
test_9622,clear primary haze
test_33989,clear primary agriculture
test_25585,clear primary partly_cloudy
test_7831,primary haze
test_8491,clear primary haze agriculture road
test_19589,clear primary habitation agriculture road
test_39805,primary partly_cloudy agriculture
test_25342,clear primary
test_39321,primary partly_cloudy agriculture
test_3003,clear primary
test_24571,clear primary water cultivation habitation agriculture road
test_6974,primary haze
test_18848,clear primary
test_1152,clear primary
test_31074,primary haze partly_cloudy
test_23942,clear primary water artisinal_mine road
test_40625,primary cloudy haze
test_36030,clear primary cultivation agriculture
test_35274,clear primary water habitation agriculture road
test_19726,clear primary
test_15361,primary cloudy water
test_27004,clear primary
test_13365,clear primary agriculture road
test_15778,clear primary haze cultivation agriculture
test_20126,primary partly_cloudy
test_28303,clear primary water agriculture
test_29149,clear primary partly_cloudy habitation agriculture road
test_1799,clear primary
test_6136,clear primary
test_21040,primary partly_cloudy habitation agriculture road
test_17214,clear primary cultivation agriculture road
test_38539,clear primary partly_cloudy agriculture road
test_1204,clear primary agriculture road
test_27302,primary water cultivation partly_cloudy
test_8654,clear primary water agriculture
test_16008,clear primary
test_4423,clear primary
test_33824,primary partly_cloudy agriculture
test_6655,clear primary
test_22015,clear primary
test_33651,clear primary cultivation habitation agriculture road
test_22230,clear primary agriculture road
test_40444,primary haze
test_3990,clear primary agriculture road
test_25815,clear primary
test_31686,primary water partly_cloudy
test_37775,clear primary
test_37147,primary partly_cloudy agriculture
test_19286,clear primary cultivation agriculture
test_12435,clear primary agriculture
test_26008,clear primary
test_14019,clear primary water agriculture
test_37883,clear primary
test_6549,clear primary
test_11453,clear primary
test_6910,clear primary
test_22132,clear primary water
test_7656,clear primary habitation bare_ground agriculture road
test_40396,clear primary cultivation agriculture
test_23932,clear primary partly_cloudy habitation agriculture road
test_13071,primary water cultivation partly_cloudy agriculture
test_27674,clear primary cultivation agriculture
test_35443,clear primary water agriculture road
test_28751,clear primary agriculture road
test_20238,clear primary
test_10415,clear primary
test_8704,clear primary
test_27105,clear primary
test_25051,clear primary agriculture
test_26744,primary haze
test_30528,clear primary
test_23727,clear primary water cultivation agriculture
test_26104,clear primary agriculture road
test_17165,clear primary
test_9585,clear primary
test_17362,clear primary water cultivation partly_cloudy habitation agriculture road
test_13653,primary partly_cloudy agriculture road
test_6967,clear primary water cultivation agriculture road
test_29019,clear primary water agriculture road
test_7494,clear primary
test_14800,cloudy
test_39350,clear primary water agriculture
test_39899,clear primary habitation agriculture road
test_34519,clear primary partly_cloudy
test_38155,clear primary
test_18358,clear primary agriculture road
test_29845,clear primary cultivation habitation agriculture road
test_39722,clear primary
test_22618,clear primary
test_27033,primary cloudy water haze
test_12511,clear primary water agriculture road
test_947,clear primary partly_cloudy
test_2986,clear primary
test_40047,cloudy
test_32301,clear primary water agriculture
test_7684,clear primary
test_20638,clear primary habitation bare_ground agriculture road
test_1686,primary partly_cloudy
test_32448,clear primary water haze cultivation agriculture road
test_6370,clear primary
test_3633,clear primary
test_2118,clear primary
test_8058,clear primary
test_28711,clear primary
test_23255,clear primary
test_9554,clear primary
test_27132,clear primary
test_39399,clear primary
test_10318,clear primary water artisinal_mine agriculture road
test_8554,clear primary agriculture road
test_29737,primary partly_cloudy agriculture
test_23296,clear primary water cultivation agriculture
test_2644,clear primary cultivation habitation agriculture road
test_23709,clear primary water
test_38523,clear primary water habitation agriculture road
test_12590,clear primary
test_31819,clear primary
test_27549,clear primary
test_31702,cloudy
test_28383,clear primary
test_2685,clear primary water habitation agriculture road
test_34616,clear primary water cultivation agriculture road
test_18812,primary water partly_cloudy agriculture road
test_23581,clear primary cultivation agriculture road
test_35551,clear primary water
test_19928,primary partly_cloudy
test_35595,primary haze
test_28721,clear primary haze agriculture road
test_6405,clear primary water road
test_9822,clear primary cultivation agriculture
test_27596,clear primary partly_cloudy road
test_33538,primary cloudy partly_cloudy
test_16369,primary partly_cloudy agriculture
test_10784,clear primary
test_40331,clear primary partly_cloudy
test_17280,clear primary
test_33473,cloudy
test_29536,primary partly_cloudy
test_5243,clear primary
test_28155,clear primary
test_9409,primary cloudy agriculture
test_3843,clear primary
test_35991,clear primary
test_35130,primary partly_cloudy agriculture road
test_38708,clear primary cultivation agriculture
test_10018,clear primary cultivation agriculture
test_38928,clear primary cultivation agriculture road
test_1641,clear primary habitation agriculture road
test_19580,clear primary cultivation agriculture road
test_31168,clear primary water cultivation agriculture
test_3475,clear primary
test_8983,clear primary water cultivation agriculture road
test_17449,clear primary
test_7059,primary partly_cloudy
test_730,clear primary cultivation agriculture
test_14759,cloudy
test_3598,clear primary
test_25742,clear primary water cultivation bare_ground agriculture road
test_25833,clear primary
test_4542,clear primary
test_36296,cloudy
test_33674,clear primary
test_23094,clear primary
test_21619,primary partly_cloudy
test_25507,primary cloudy haze
test_21266,clear primary agriculture road
test_11294,clear primary
test_40445,clear primary water bare_ground agriculture road
test_6788,clear primary water cultivation
test_31076,clear primary water partly_cloudy agriculture road
test_8380,clear primary cultivation habitation agriculture road
test_38689,primary cloudy water
test_11159,clear primary water cultivation agriculture road
test_12595,clear primary
test_20764,clear primary cultivation agriculture road
test_30153,cloudy
test_16884,clear primary
test_5197,primary partly_cloudy
test_27752,primary haze
test_22825,clear primary
test_16608,primary partly_cloudy agriculture road
test_16172,clear primary agriculture road
test_8955,clear primary
test_8268,clear primary agriculture road
test_21400,clear primary
test_8410,clear primary water
test_14330,clear primary habitation agriculture road
test_13402,clear primary
test_31900,clear primary cultivation habitation agriculture road
test_36541,clear primary water agriculture
test_17497,clear primary water cultivation agriculture
test_16434,clear primary water cultivation agriculture road
test_8924,clear primary water habitation agriculture road
test_27308,clear primary
test_26595,clear primary cultivation habitation agriculture road
test_11864,primary water partly_cloudy agriculture road
test_1065,clear primary
test_2314,clear primary
test_15799,clear primary
test_27298,clear primary water cultivation
test_31966,clear primary habitation agriculture road
test_8176,clear primary water cultivation partly_cloudy
test_30386,clear primary cultivation agriculture
test_29904,primary haze
test_18865,clear primary water road
test_38503,clear primary
test_22492,clear primary water road
test_9190,clear primary habitation agriculture road
test_34067,clear primary
test_22964,clear primary
test_40076,clear primary
test_28869,cloudy
test_38393,clear primary cultivation habitation agriculture road
test_24284,clear primary
test_4047,primary partly_cloudy
test_19878,primary partly_cloudy agriculture
test_4742,primary water partly_cloudy agriculture
test_36162,primary cloudy water
test_22838,primary cloudy water partly_cloudy agriculture
test_34258,clear primary
test_35661,primary haze
test_3788,clear primary partly_cloudy
test_12150,primary haze
test_22979,clear primary agriculture road
test_11991,primary cloudy haze
test_39386,clear primary water artisinal_mine road
test_18846,primary haze
test_13121,clear primary
test_25899,clear primary habitation agriculture road
test_33907,primary water partly_cloudy
test_30910,clear primary water
test_17623,clear primary water cultivation habitation agriculture road
test_30081,clear primary
test_11141,primary water haze cultivation agriculture
test_5522,clear primary cultivation agriculture road
test_4121,clear primary
test_5788,clear primary cultivation habitation agriculture road
test_16427,clear primary
test_23749,clear primary cultivation habitation agriculture road
test_3994,clear primary water
test_18245,primary partly_cloudy
test_35985,clear primary
test_1340,primary cloudy agriculture
test_2584,clear primary
test_8100,primary partly_cloudy agriculture
test_25483,clear primary
test_39425,primary haze
test_29449,primary cloudy haze
test_31230,primary partly_cloudy
test_33503,clear primary
test_22888,clear primary cultivation
test_178,clear primary water haze cultivation agriculture road
test_13713,clear primary
test_18470,clear primary
test_26963,clear primary water agriculture road
test_19148,clear primary
test_10727,clear primary water cultivation partly_cloudy habitation agriculture road
test_12415,clear primary haze
test_37533,primary cloudy partly_cloudy
test_6727,primary cloudy partly_cloudy
test_1080,clear primary
test_14571,clear primary
test_10822,clear primary
test_8996,clear primary water artisinal_mine
test_35396,primary partly_cloudy
test_19202,primary haze
test_11437,clear primary partly_cloudy agriculture
test_37343,clear primary water cultivation habitation agriculture road
test_5808,clear primary
test_13557,clear primary habitation agriculture road
test_6268,clear primary
test_8361,clear primary agriculture
test_25444,clear primary habitation agriculture road
test_3249,primary partly_cloudy agriculture
test_704,clear primary
test_22325,clear primary water cultivation agriculture road
test_17632,clear primary cultivation agriculture
test_11871,clear primary
test_22438,clear primary
test_40633,clear primary cultivation agriculture road
test_33238,primary partly_cloudy
test_5663,clear primary cultivation
test_1654,clear primary cultivation habitation agriculture road
test_22883,clear primary agriculture
test_10104,clear primary
test_254,clear primary
test_17977,clear primary
test_14296,clear primary water cultivation road
test_14405,clear primary cultivation agriculture road
test_11768,clear primary
test_39382,clear primary
test_1381,clear primary water
test_27792,clear primary
test_29825,clear primary water cultivation habitation agriculture road
test_37930,primary water partly_cloudy agriculture
test_19712,clear primary water agriculture
test_32293,clear primary
test_456,primary partly_cloudy agriculture road
test_22669,cloudy haze
test_4888,primary water partly_cloudy
test_23372,clear primary water cultivation partly_cloudy habitation agriculture
test_5811,primary partly_cloudy
test_34439,clear primary agriculture road
test_11698,cloudy
test_7962,primary partly_cloudy
test_33201,clear primary cultivation agriculture road
test_12352,clear primary cultivation agriculture road
test_28811,primary partly_cloudy habitation agriculture road
test_3989,primary partly_cloudy agriculture road
test_32449,clear primary
test_17002,primary partly_cloudy road
test_23778,primary partly_cloudy
test_14344,clear primary
test_33394,clear primary water agriculture road
test_35896,cloudy
test_1342,clear primary water agriculture
test_31927,clear primary agriculture road
test_3235,clear primary
test_33696,clear primary habitation agriculture road
test_25142,clear primary
test_21531,primary cloudy water
test_24120,primary cultivation partly_cloudy agriculture road
test_13420,clear primary road
test_30234,clear primary water habitation agriculture road
test_33210,clear primary agriculture road
test_21436,clear primary water agriculture road
test_36107,clear primary agriculture
test_30522,clear primary
test_14240,clear primary
test_12495,clear primary
test_10057,clear primary water habitation agriculture road
test_10928,clear primary
test_4698,clear primary
test_40370,clear primary agriculture road
test_2952,clear primary
test_14957,primary partly_cloudy agriculture
test_33335,clear primary
test_15394,clear primary
test_7647,clear primary
test_32872,primary haze
test_34064,cloudy
test_14219,clear primary
test_23962,clear primary water cultivation agriculture
test_34658,clear primary water cultivation agriculture road
test_31547,primary water partly_cloudy agriculture
test_31498,clear primary
test_18414,clear primary water agriculture
test_10173,clear primary
test_30543,clear primary habitation agriculture road
test_4686,clear primary water
test_2329,clear primary
test_27523,clear primary
test_34986,clear primary
test_36784,clear primary
test_7414,clear primary water cultivation agriculture
test_25131,clear primary
test_18722,cloudy
test_39119,clear primary
test_25884,clear primary agriculture
test_9010,clear primary
test_27809,primary partly_cloudy agriculture
test_25493,clear primary
test_9917,clear primary
test_4142,primary haze
test_27912,clear primary cultivation agriculture
test_28734,clear primary water habitation agriculture road
test_36341,primary partly_cloudy agriculture road
test_27855,clear primary
test_11609,clear primary cultivation agriculture
test_16018,clear primary
test_29984,primary partly_cloudy
test_38485,clear primary blow_down
test_14265,clear primary agriculture road
test_14845,clear primary
test_35788,clear primary water cultivation agriculture road
test_3629,clear primary cultivation agriculture
test_12812,clear primary
test_9988,clear primary
test_21632,clear primary water cultivation agriculture
test_15012,primary partly_cloudy
test_34224,clear primary partly_cloudy habitation agriculture road
test_30963,clear primary partly_cloudy
test_15551,clear primary agriculture road
