image_name,tags
test_26356,clear primary
test_1217,primary partly_cloudy agriculture
test_9987,primary haze
test_5921,clear primary partly_cloudy bare_ground agriculture road
test_32628,clear primary
test_10132,clear primary agriculture road
test_24510,clear primary
test_33483,clear primary water agriculture
test_36054,cloudy water
test_5170,clear primary water cultivation agriculture road
test_23774,clear primary haze
test_34093,clear primary water
test_36517,cloudy
test_26173,primary partly_cloudy agriculture
test_14371,clear primary
test_32890,clear primary water cultivation road
test_1177,cloudy
test_29699,clear primary water agriculture
test_10357,clear primary
test_31134,primary partly_cloudy agriculture
test_33596,clear primary
test_1555,clear primary habitation bare_ground agriculture road
test_7428,clear primary
test_17636,clear primary
test_35571,primary haze agriculture road
test_22248,clear primary
test_9048,clear primary habitation agriculture road
test_29313,primary partly_cloudy agriculture
test_6609,clear primary
test_998,primary haze
test_36392,clear primary
test_20052,clear primary
test_33839,clear primary
test_7495,clear primary cultivation bare_ground agriculture
test_34395,clear primary
test_39563,clear primary cloudy water artisinal_mine
test_35151,clear primary
test_17107,clear primary water haze cultivation agriculture road
test_33533,clear primary cultivation habitation agriculture road
test_23630,clear primary water cultivation road
test_28905,clear primary cultivation agriculture road
test_7825,clear primary
test_4195,clear primary
test_27190,primary partly_cloudy
test_20270,clear primary water road
test_35650,primary partly_cloudy agriculture road
test_4991,clear primary
test_35024,clear primary water cultivation
test_19972,clear primary cultivation habitation agriculture road
test_18420,clear primary
test_25668,clear primary
test_3447,clear primary water agriculture road
test_8016,primary partly_cloudy agriculture road
test_35687,clear primary
test_19865,primary cloudy water haze bare_ground agriculture road
test_30742,primary partly_cloudy
test_32606,clear primary water haze agriculture
test_4684,clear primary
test_30667,clear primary
test_21958,clear primary haze agriculture
test_7141,clear primary agriculture
test_9200,clear primary
test_31553,clear primary cultivation agriculture
test_22624,primary cloudy haze
test_16542,clear primary
test_24911,clear primary cultivation agriculture road
test_7498,clear primary
test_22957,clear primary water cultivation agriculture road
test_37839,clear primary cloudy partly_cloudy
test_18844,clear primary
test_18926,clear primary water agriculture road
test_7412,clear primary cloudy haze agriculture
test_39475,clear primary water road
test_34825,clear primary
test_2172,clear primary
test_29340,clear primary water agriculture road
test_22747,clear primary cultivation agriculture
test_32326,clear primary cultivation
test_39949,clear primary
test_31208,primary cloudy haze
test_11390,clear primary
test_8008,primary cloudy
test_31457,primary water partly_cloudy agriculture
test_26988,primary partly_cloudy habitation agriculture road
test_13909,clear primary
test_37947,primary cloudy haze
test_19508,clear primary
test_39049,clear primary
test_29146,clear primary water
test_29546,primary partly_cloudy agriculture road
test_13007,primary partly_cloudy
test_39725,clear primary agriculture road
test_12951,primary partly_cloudy agriculture road
test_19633,primary partly_cloudy agriculture
test_979,clear primary partly_cloudy agriculture
test_8200,clear primary
test_24816,clear primary
test_20076,clear primary water agriculture road
test_18268,primary cloudy haze
test_1903,primary partly_cloudy
test_10551,clear primary
test_28322,clear primary road
test_33089,clear primary
test_36121,clear primary
test_33341,clear primary water habitation agriculture road
test_28190,clear primary water cultivation partly_cloudy agriculture
test_1740,clear primary
test_18428,clear primary water haze habitation agriculture road
test_6059,primary cloudy partly_cloudy
test_11393,primary water partly_cloudy
test_33802,clear primary habitation agriculture road
test_26526,clear primary
test_33972,cloudy
test_32114,clear primary water agriculture road
test_22137,clear primary water cultivation agriculture road
test_32863,clear primary haze agriculture
test_16387,clear primary water agriculture
test_30972,clear primary habitation agriculture road
test_12451,clear primary
test_26399,clear primary
test_11484,clear primary haze
test_21287,clear primary
test_17715,clear primary
test_3115,clear primary
test_20768,clear primary
test_17711,primary haze
test_37917,clear primary road
test_1532,clear primary
test_4646,clear primary water cultivation agriculture
test_22081,primary water partly_cloudy habitation agriculture road
test_27278,primary cloudy haze
test_429,clear primary partly_cloudy agriculture
test_1458,clear primary agriculture road
test_7131,primary cloudy partly_cloudy agriculture
test_23539,clear primary water habitation agriculture road
test_19054,clear primary haze agriculture
test_19536,clear primary cultivation partly_cloudy agriculture road
test_19379,clear primary water cultivation habitation agriculture road
test_4703,clear primary cultivation habitation agriculture road
test_24596,primary partly_cloudy
test_12974,clear primary
test_334,primary cloudy partly_cloudy agriculture
test_12833,clear primary
test_19831,primary cloudy haze
test_22870,primary haze
test_11649,clear primary
test_20771,clear primary
test_36436,clear primary cultivation
test_12847,clear primary
test_26070,clear primary water agriculture road
test_18113,clear primary
test_5319,clear primary
test_18956,clear primary water cultivation habitation agriculture road
test_31150,primary partly_cloudy
test_21751,clear primary cultivation habitation agriculture
test_13587,clear primary water cultivation habitation agriculture road
test_27010,clear primary water
test_7773,clear primary
test_28706,clear primary water cultivation habitation agriculture road
test_35359,primary partly_cloudy
test_31976,clear primary water partly_cloudy agriculture road
test_10457,clear primary water artisinal_mine habitation road
test_25393,primary partly_cloudy
test_12164,clear primary
test_10905,primary cloudy
test_22332,clear primary
test_11170,clear primary habitation agriculture road
test_19836,primary partly_cloudy agriculture
test_12480,clear primary
test_1009,clear primary agriculture road
test_326,clear primary
test_6445,clear primary
test_27823,clear primary water agriculture
test_36892,clear primary water habitation agriculture
test_33993,clear primary
test_37004,clear primary agriculture
test_20651,clear primary water partly_cloudy agriculture road
test_5907,clear primary haze
test_31095,primary partly_cloudy
test_9536,primary cloudy
test_27412,clear primary haze bare_ground agriculture road
test_19308,clear primary
test_2019,clear primary partly_cloudy
test_40513,clear primary cultivation agriculture road
test_34967,primary partly_cloudy agriculture
test_9506,clear primary cultivation partly_cloudy agriculture road
test_28202,clear primary
test_30416,clear primary cultivation
test_38292,clear primary cultivation agriculture road
test_36967,clear primary
test_7439,primary haze
test_27968,clear primary
test_12468,primary cloudy water haze agriculture
test_18286,primary partly_cloudy
test_15088,primary cloudy water
test_24298,clear primary partly_cloudy agriculture road
test_18505,primary cloudy haze
test_438,clear primary water cultivation agriculture road
test_26361,clear primary water agriculture
test_36607,primary partly_cloudy
test_34075,primary partly_cloudy
test_23296,clear primary water cultivation
test_6184,clear primary
test_15229,clear primary water agriculture road
test_26391,clear primary
test_7595,clear primary
test_16126,clear primary
test_21472,clear primary cultivation agriculture
test_29195,clear primary water agriculture
test_9665,clear primary water cultivation
test_6785,clear primary
test_369,clear primary habitation agriculture road
test_20405,clear primary
test_28935,clear primary water cultivation road
test_35038,clear primary partly_cloudy
test_38688,clear primary water agriculture road
test_20914,clear primary
test_25940,primary cloudy water
test_16279,primary cloudy
test_31935,clear primary water cultivation agriculture road
test_5785,clear primary water partly_cloudy
test_33829,clear primary
test_2317,clear primary cultivation agriculture
test_32095,clear primary haze
test_38056,clear primary
test_5429,clear primary
test_12655,clear primary
test_24427,primary water partly_cloudy habitation agriculture road
test_9607,clear primary
test_6156,clear primary partly_cloudy
test_24703,primary cultivation partly_cloudy agriculture road
test_30059,clear primary
test_20616,primary water partly_cloudy agriculture road
test_20122,primary haze
test_39109,primary cloudy haze
test_25872,primary cloudy water haze
test_25969,primary water partly_cloudy agriculture
test_17266,primary cloudy haze
test_4283,clear primary cultivation agriculture
test_2301,clear primary agriculture road
test_24237,clear primary
test_15065,clear primary
test_11977,clear primary
test_39801,clear primary
test_27085,primary cloudy water haze agriculture
test_24800,clear primary water artisinal_mine bare_ground agriculture
test_24662,primary partly_cloudy agriculture
test_25877,clear primary partly_cloudy
test_36813,clear primary water partly_cloudy agriculture
test_976,clear primary water cultivation agriculture road
test_5339,clear primary
test_15502,clear primary
test_28695,clear primary
test_23292,primary cultivation partly_cloudy habitation agriculture road
test_30309,clear primary water cultivation habitation agriculture
test_16446,clear primary
test_5840,clear primary cultivation agriculture
test_9268,clear primary
test_38692,clear primary haze
test_21137,clear primary haze
test_26176,clear primary water haze agriculture road
test_32495,clear primary
test_27177,clear primary water cultivation habitation agriculture road
test_34175,clear primary
test_37910,primary cloudy
test_15794,clear primary
test_694,clear primary water cultivation agriculture
test_6874,primary cloudy haze
test_23484,clear primary cultivation agriculture
test_18502,primary cloudy water partly_cloudy
test_38173,primary partly_cloudy agriculture road
